% Model:              hydro_005.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 16 2025, 10:51
% Dimension:          3
% Nodes:              3184
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% x                       y                        z                        u2 (m/s) @ t=1           v2 (m/s) @ t=1           w2 (m/s) @ t=1           p2 (Pa) @ t=1
4.284831859464078E-4      4.284831859464078E-4     5.000000000000002E-4     -2.0099890152760646E-10  -2.0100490487932964E-10  -1.2181071773248165E-9   0.10711537824830077
4.460027191716477E-4      4.460027191716477E-4     4.3398144904403135E-4    -2.1885057394327726E-10  -2.1885057394327726E-10  -1.352369999481694E-9    0.10711537360919536
5.0E-4                    5.0E-4                   5.0E-4                   -2.6215156362764756E-10  -2.621560595640278E-10   -1.0485993317936539E-9   0.10711539707819379
5.0E-4                    4.0E-4                   5.0E-4                   -3.1757343664590684E-10  -1.2447212652080717E-10  -1.1559211116375974E-9   0.1071153881262641
5.0E-4                    4.381093551845703E-4     4.3505298641700093E-4    -2.9543197777287665E-10  -1.7617826360945002E-10  -1.2897444300798711E-9   0.10711538066887362
5.0E-4                    5.0E-4                   3.999999999999999E-4     -2.5404870442457583E-10  -2.5405013513280607E-10  -1.3156686124536444E-9   0.10711537806363877
5.0E-4                    4.0E-4                   -5.0E-4                  3.175659852039468E-10    1.2466022955108702E-10   -1.1559218789728745E-9   0.10711468204651192
5.0E-4                    4.252158039667247E-4     -4.337401303557395E-4    3.0335088053080204E-10   1.5806229193008367E-10   -1.3059947567152485E-9   0.107114685847467
5.0E-4                    5.0E-4                   -5.0E-4                  2.6215878491777615E-10   2.6216899166334925E-10   -1.0485965097645342E-9   0.10711466601677028
4.284831859464082E-4      4.284831859464082E-4     -5.000000000000001E-4    2.006865893768492E-10    2.0068973180141312E-10   -1.2181110138012345E-9   0.10711468766857482
4.5309361592409954E-4     4.5309361592409954E-4    -4.2538763688020965E-4   2.2366580295345085E-10   2.2366580295345085E-10   -1.3578331581700148E-9   0.1071146907267101
4.999999999999999E-4      4.999999999999999E-4     -3.9999999999999996E-4   2.5405909025578516E-10   2.5406952426187803E-10   -1.3155381364639102E-9   0.10711468598177976
5.0E-4                    3.5003748668052936E-4    -4.25736105805446E-4     3.518184246143229E-10    6.788874994287094E-11    -1.399934041393049E-9    0.10711468555515156
4.4620085310719015E-4     3.137358421524109E-4     -4.336306376512944E-4    2.9448764181790147E-10   6.189569400945839E-11    -1.5094169748876246E-9   0.10711469276522777
5.0E-4                    2.5810153608046854E-4    -4.197876623481287E-4    4.1319377321282413E-10   -1.2172705845203145E-11  -1.4889220654997896E-9   0.10711467753837331
5.0E-4                    3.0000000000000003E-4    -5.0E-4                  3.7572768631101694E-10   1.2613555137484022E-11   -1.2624107933125184E-9   0.10711466876661015
5.0E-4                    3.50842581849203E-4      4.109696674237747E-4     -3.507587044475535E-10   -6.844925414496543E-11   -1.4356164269526665E-9   0.10711537517003265
4.3096488968835244E-4     3.456868997681287E-4     4.368490384700072E-4     -2.5488797304762267E-10  -1.0261658680847373E-10  -1.490187285344053E-9    0.10711536758249762
5.0E-4                    3.0000000000000003E-4    5.0E-4                   -3.7573364958569204E-10  -1.2123913325805385E-11  -1.2624195618080741E-9   0.10711539650522739
4.2875957623220737E-4     3.2985109229652327E-4    5.0E-4                   -2.465243212523786E-10   -7.64838910088088E-11    -1.350554335119707E-9    0.10711537535067327
4.407239407507564E-4      2.5594384323751547E-4    5.0E-4                   -2.94616551920709E-10    -5.596609614931818E-12   -1.4218214893138628E-9   0.10711538874707192
4.017304278694002E-4      2.4062409637865166E-4    4.48724457417114E-4      -2.5204346963864593E-10  -1.9705174799460138E-11  -1.6442378009391298E-9   0.10711537434782924
